uid_src,uid_dst,lng_src,lat_src,lng_dst,lat_dst,distance_in_meter
637312124015722555,637312124016107664,104.199242,30.572729,104.19971,30.573965,744
637312124015860410,637276942181099327,104.258918,30.57548,104.259674,30.570957,750
637276942181099327,637312124015860410,104.259674,30.570957,104.258918,30.57548,750
637312124014699108,637312124016939305,104.184392,30.566619,104.180321,30.56114,759
637312124014972336,637276942195580658,104.25606,30.53671,104.25172,30.537338,776
637276942195580658,637312124014972336,104.25172,30.537338,104.25606,30.53671,776
637312124015648969,637312124013045001,104.26922,30.553812,104.269845,30.548347,814
637312124013045001,637312124015648969,104.269845,30.548347,104.26922,30.553812,814
637312124012172226,637276942181099327,104.256027,30.57325,104.259674,30.570957,825
637276942181099327,637312124012172226,104.259674,30.570957,104.256027,30.57325,825
637312124015678607,637276942188521769,104.17856,30.56646,104.18168,30.564999,847
637276942188521769,637312124015678607,104.18168,30.564999,104.17856,30.56646,847
637312124012071547,637276942188411153,104.266069,30.545579,104.262245,30.546041,849
637312124013038879,637276942188411153,104.266069,30.545579,104.262245,30.546041,849
637276942188411153,637312124013038879,104.262245,30.546041,104.266069,30.545579,849
637276942188411153,637312124012071547,104.262245,30.546041,104.266069,30.545579,849
637312124017121365,637312124015594897,104.20509,30.570518,104.202774,30.571428,865
637312124015594897,637312124017121365,104.202774,30.571428,104.20509,30.570518,865
637312124016754143,637276942188521769,104.1784,30.56639,104.18168,30.564999,869
637276942188521769,637312124016754143,104.18168,30.564999,104.1784,30.56639,869
637312124013973496,637312124012159576,104.196583,30.579774,104.195409,30.573383,869
637312124012159576,637312124013973496,104.195409,30.573383,104.196583,30.579774,869
637312124015678607,637312124014554863,104.17856,30.56646,104.181805,30.564663,872
637312124014554863,637312124015678607,104.181805,30.564663,104.17856,30.56646,872
637312124014906433,637312124013316368,104.20856,30.5799,104.211782,30.585414,874
637312124013316368,637312124014906433,104.211782,30.585414,104.20856,30.5799,874
637312124014930972,637276942222069138,104.258754,30.568776,104.26218,30.572575,876
637276942222069138,637312124014930972,104.26218,30.572575,104.258754,30.568776,876
637312124015722555,637312124015594897,104.199242,30.572729,104.202774,30.571428,886
637312124015594897,637312124015722555,104.202774,30.571428,104.199242,30.572729,886
637312124015647081,637312124012159576,104.194904,30.571829,104.195409,30.573383,891
637312124012159576,637312124015647081,104.195409,30.573383,104.194904,30.571829,891
637312124016754143,637312124014554863,104.1784,30.56639,104.181805,30.564663,893
637312124014554863,637312124016754143,104.181805,30.564663,104.1784,30.56639,893
637312124013935190,637312124012131469,104.22884,30.57109,104.234548,30.570499,920
637312124012131469,637312124013935190,104.234548,30.570499,104.22884,30.57109,920
637312124015648969,637312124014905680,104.26922,30.553812,104.269493,30.547171,939
637312124014905680,637312124015648969,104.269493,30.547171,104.26922,30.553812,939
637312124015860410,637312124012172226,104.258918,30.57548,104.256027,30.57325,942
637312124012172226,637312124015860410,104.256027,30.57325,104.258918,30.57548,942
637312124016983462,637312124015860410,104.261894,30.57739,104.258918,30.57548,943
637312124015860410,637312124016983462,104.258918,30.57548,104.261894,30.57739,943
637312124016107664,637312124015594897,104.19971,30.573965,104.202774,30.571428,945
637312124015594897,637312124016107664,104.202774,30.571428,104.19971,30.573965,945
637312124015970836,637312124015165857,104.17057,30.570486,104.169633,30.569092,951
637312124015165857,637312124015970836,104.169633,30.569092,104.17057,30.570486,951
637312124013510502,637276942222069138,104.268643,30.571744,104.26218,30.572575,972
637276942222069138,637312124013510502,104.26218,30.572575,104.268643,30.571744,972
637312124017001385,637276942181099327,104.25418,30.57235,104.259674,30.570957,978
637276942181099327,637312124017001385,104.259674,30.570957,104.25418,30.57235,978
637312124014936103,637276942203653243,104.241501,30.567533,104.24151,30.56547,978
637276942203653243,637312124014936103,104.24151,30.56547,104.241501,30.567533,978
637312124015722555,637312124012159576,104.199242,30.572729,104.195409,30.573383,994
637312124012159576,637312124015722555,104.195409,30.573383,104.199242,30.572729,994
637312124017001385,637312124014930972,104.25418,30.57235,104.258754,30.568776,1000
637312124014930972,637312124017001385,104.258754,30.568776,104.25418,30.57235,1000
637312124016315156,637312124014425643,104.252965,30.585094,104.247969,30.585034,1008
637312124014425643,637312124016315156,104.247969,30.585034,104.252965,30.585094,1008
637312124015648812,637312124015648969,104.267456,30.55644,104.26922,30.553812,1013
637312124015648969,637312124015648812,104.26922,30.553812,104.267456,30.55644,1013
637312124014905680,637276942188411153,104.269493,30.547171,104.262245,30.546041,1017
637276942188411153,637312124014905680,104.262245,30.546041,104.269493,30.547171,1017
637312124017001385,637312124015848222,104.25418,30.57235,104.251297,30.565132,1027
637312124015848222,637312124017001385,104.251297,30.565132,104.25418,30.57235,1027
637312124016900454,637312124014936103,104.24247,30.569216,104.241501,30.567533,1030
637312124014936103,637312124016900454,104.241501,30.567533,104.24247,30.569216,1030
639264856612717943,637312124015165857,104.1774,30.56805,104.169633,30.569092,1032
637312124015165857,639264856612717943,104.169633,30.569092,104.1774,30.56805,1032
637312124016983462,637312124013510502,104.261894,30.57739,104.268643,30.571744,1033
637312124013510502,637312124016983462,104.268643,30.571744,104.261894,30.57739,1033
637312124015860410,637312124015464873,104.258918,30.57548,104.260864,30.577421,1046
637312124015464873,637312124015860410,104.260864,30.577421,104.258918,30.57548,1046
637312124015960747,637312124015650761,104.19128,30.57212,104.19426,30.573801,1068
637312124015650761,637312124015960747,104.19426,30.573801,104.19128,30.57212,1068
637312124016900454,637276942203653243,104.24247,30.569216,104.24151,30.56547,1074
637276942203653243,637312124016900454,104.24151,30.56547,104.24247,30.569216,1074
637312124015548058,637312124012131469,104.229274,30.571409,104.234548,30.570499,1080
637312124012131469,637312124015548058,104.234548,30.570499,104.229274,30.571409,1080
637312124016754143,637312124015165857,104.1784,30.56639,104.169633,30.569092,1087
637312124015165857,637312124016754143,104.169633,30.569092,104.1784,30.56639,1087
637312124015464873,637312124013510502,104.260864,30.577421,104.268643,30.571744,1097
637312124013510502,637312124015464873,104.268643,30.571744,104.260864,30.577421,1097
637312124017011153,637312124015860410,104.260292,30.576493,104.258918,30.57548,1097
637312124015860410,637312124017011153,104.258918,30.57548,104.260292,30.576493,1097
637276942222069138,637276942181099327,104.26218,30.572575,104.259674,30.570957,1100
637276942181099327,637276942222069138,104.259674,30.570957,104.26218,30.572575,1100
637312124015678607,637312124015165857,104.17856,30.56646,104.169633,30.569092,1102
637312124015165857,637312124015678607,104.169633,30.569092,104.17856,30.56646,1102
637312124015176079,637312124012159576,104.198858,30.580431,104.195409,30.573383,1104
637312124012159576,637312124015176079,104.195409,30.573383,104.198858,30.580431,1104
637312124016864705,637312124016502239,104.184998,30.575947,104.19138,30.57867,1107
637312124016502239,637312124016864705,104.19138,30.57867,104.184998,30.575947,1107
637312124016864705,637312124015170548,104.184998,30.575947,104.176553,30.576057,1108
637312124015170548,637312124016864705,104.176553,30.576057,104.184998,30.575947,1108
637312124015494364,637312124012131469,104.22882,30.571407,104.234548,30.570499,1121
637312124012131469,637312124015494364,104.234548,30.570499,104.22882,30.571407,1121
637312124013874021,637312124012144235,104.199181,30.57605,104.200387,30.572607,1128
637312124012144235,637312124013874021,104.200387,30.572607,104.199181,30.57605,1128
637312124017080467,637312124013510502,104.27649,30.574787,104.268643,30.571744,1128
637312124013510502,637312124017080467,104.268643,30.571744,104.27649,30.574787,1128
